,"0,…","1,…","0,…","1,…","0,…","1,…","0,…","1,…","0,…","1,…","0,…","1,…","0,…","1,…","0,…","1,…",
0,0,0,105,6,213,22,325,51,445,95,577,155,727,236,900,346,100
2,2,0,107,6,215,23,327,52,448,96,580,156,730,238,904,348,98
4,4,0,109,6,217,24,330,53,450,97,583,157,733,240,908,351,96
6,6,0,111,6,219,24,332,54,453,98,586,159,736,242,912,353,94
8,8,0,113,6,221,25,334,54,455,99,589,160,739,244,916,355,92
10,10,0,116,7,224,25,337,55,458,100,591,161,743,245,919,358,90
12,12,0,118,7,226,26,339,56,460,101,594,163,746,247,923,360,88
14,15,0,120,7,228,26,341,57,463,102,597,164,749,249,927,363,86
16,17,0,122,7,230,27,344,57,465,103,600,165,752,251,931,366,84
18,19,0,124,7,232,27,346,58,468,104,603,167,756,253,935,369,82
20,21,0,126,8,235,27,348,59,471,105,606,169,759,255,939,372,80
22,23,0,129,8,237,28,351,59,473,106,609,171,762,257,943,374,78
24,25,0,131,9,239,28,353,60,476,107,611,172,766,259,947,377,76
26,27,0,133,9,241,29,356,61,478,109,614,174,769,261,951,379,74
28,29,0,135,9,243,29,358,62,481,110,617,175,772,263,955,382,72
30,31,0,137,9,246,30,360,63,483,11,620,176,776,265,959,385,70
32,34,1,139,10,248,30,362,64,486,112,623,178,779,267,963,388,68
34,36,1,141,10,250,31,365,64,489,113,626,179,782,269,967,391,66
36,38,1,143,10,252,31,367,65,491,114,629,181,786,272,971,394,64
38,40,1,146,10,254,32,369,66,494,115,632,183,789,274,975,397,62
40,42,1,148,11,257,32,372,67,496,116,635,185,793,276,979,400,60
42,44,1,150,11,259,33,374,68,499,117,638,186,796,278,983,403,58
44,46,1,152,11,261,33,377,68,502,119,640,188,799,280,987,405,56
46,48,1,154,12,263,34,379,69,504,120,643,189,803,282,992,408,54
48,50,1,156,12,266,34,381,70,507,121,646,190,806,285,996,411,52
50,52,1,158,12,268,35,384,71,510,122,649,192,810,287,1000,414,50
52,55,1,160,13,270,36,386,72,512,124,652,193,813,289,1004,417,48
54,57,2,163,13,272,36,389,73,515,125,655,195,817,291,1008,420,46
56,59,2,165,13,275,37,391,74,518,126,658,197,820,293,1012,423,44
58,61,2,167,14,277,37,393,75,520,127,661,199,824,295,1016,426,42
60,63,2,169,14,279,38,396,75,523,129,664,200,827,298,1020,429,40
62,65,2,171,14,281,40,398,76,525,130,667,202,831,300,1024,432,38
64,67,2,173,15,284,40,400,77,528,131,670,204,834,302,1028,435,36
66,69,2,175,15,286,41,403,78,531,132,673,206,838,305,1032,438,34
68,71,2,178,15,288,41,406,79,533,134,676,208,841,307,1036,441,32
70,73,3,180,16,291,42,408,80,536,135,680,209,845,309,1040,444,30
72,76,3,182,16,293,42,410,81,539,136,683,211,849,311,1044,447,28
74,78,3,184,16,295,43,413,82,542,138,686,212,852,314,1048,450,26
76,80,3,186,17,297,43,415,83,544,139,689,214,856,316,1052,453,24
78,82,3,188,17,300,44,418,84,547,140,692,216,860,318,1056,456,22
80,84,3,191,18,302,44,420,85,550,142,695,218,863,321,1060,459,20
82,86,4,193,18,304,45,423,86,553,143,698,220,867,323,1064,462,18
84,88,4,195,18,306,45,425,87,555,144,701,221,870,326,1068,465,16
86,90,4,197,19,309,46,428,88,558,145,704,223,874,328,1072,468,14
88,92,4,199,19,311,47,430,89,561,146,707,225,878,330,1076,471,12
90,94,4,201,20,313,48,433,90,563,148,711,227,882,333,1080,474,10
92,97,5,204,20,316,48,435,91,566,149,714,229,885,335,1084,477,8
94,99,5,206,21,318,49,438,92,569,150,717,231,889,338,1088,480,6
96,101,5,208,21,320,50,440,93,572,152,720,233,893,340,1092,483,4
98,103,5,210,21,323,50,443,94,575,153,723,235,897,343,1096,486,2
100,105,6,213,22,325,51,445,95,577,155,727,236,900,346,1100,489,0
